,key,LocID,airport name,facility type,FAA region,county,city,state,airport type,latitude,longiutde,Boundary Data Available
781,613.0,OKB,OCEANSIDE MUNI,Airport,AWP,SAN DIEGO,OCEANSIDE,CA,Public Use,33.217976,-117.351508,Yes
782,330.0,TCL,TUSCALOOSA RGNL,Airport,ASO,TUSCALOOSA,TUSCALOOSA,AL,Public Use,33.220628,-87.611402,Yes
783,408.0,ELD,SOUTH ARKANSAS RGNL AT GOODWIN FIELD,Airport,ASW,UNION,EL DORADO,AR,Public Use,33.220972,-92.813278,Yes
784,971.0,65J,WRENS MEMORIAL,Airport,ASO,JEFFERSON,WRENS,GA,Public Use,33.222778,-82.3845,Yes
785,917.0,6A2,GRIFFIN-SPALDING COUNTY,Airport,ASO,SPALDING,GRIFFIN,GA,Public Use,33.226972,-84.274944,Yes
786,377.0,AGO,MAGNOLIA MUNI,Airport,ASW,COLUMBIA,MAGNOLIA,AR,Public Use,33.227468,-93.216992,Yes
787,3215.0,21F,JACKSBORO MUNI,Airport,ASW,JACK,JACKSBORO,TX,Public Use,33.227861,-98.146444,Yes
788,5185.0,22F,KENT COUNTY,Airport,ASW,KENT,JAYTON,TX,Public Use,33.229111,-100.569111,No
789,2388.0,TCS,TRUTH OR CONSEQUENCES MUNI,Airport,ASW,SIERRA,TRUTH OR CONSEQUENCES,NM,Public Use,33.235361,-107.269889,Yes
790,647.0,SAS,SALTON SEA,Airport,AWP,IMPERIAL,SALTON CITY,CA,Public Use,33.241194,-115.952583,Yes
791,3153.0,LUD,DECATUR MUNI,Airport,ASW,WISE,DECATUR,TX,Public Use,33.25425,-97.5805,Yes
792,2898.0,BNL,BARNWELL RGNL,Airport,ASO,BARNWELL,BARNWELL,SC,Public Use,33.258002,-81.387933,Yes
793,498.0,L08,BORREGO VALLEY,Airport,AWP,SAN DIEGO,BORREGO SPRINGS,CA,Public Use,33.259028,-116.320972,Yes
794,4847.0,18T,TATUM,Airport,ASW,LEA,TATUM,NM,Public Use,33.260806,-103.278486,No
795,428.0,CHD,CHANDLER MUNI,Airport,AWP,MARICOPA,CHANDLER,AZ,Public Use,33.269111,-111.811111,Yes
796,5135.0,76T,BISHOP,Airport,ASW,WISE,DECATUR,TX,Public Use,33.269167,-97.451861,No
797,4098.0,E81,SUPERIOR MUNI,Airport,AWP,PINAL,SUPERIOR,AZ,Public Use,33.277834,-111.127065,No
798,5192.0,09T,LAZY G BAR RANCH,Airport,ASW,WISE,DECATUR,TX,Public Use,33.281321,-97.496693,No
799,257.0,26A,ASHLAND/LINEVILLE,Airport,ASO,CLAY,ASHLAND/LINEVILLE,AL,Public Use,33.284028,-85.809028,Yes
800,3136.0,2F7,COMMERCE MUNI,Airport,ASW,HUNT,COMMERCE,TX,Public Use,33.292889,-95.896417,Yes
801,472.0,P19,STELLAR AIRPARK,Airport,AWP,MARICOPA,CHANDLER,AZ,Public Use,33.298876,-111.915437,Yes
802,5097.0,5J5,HOLLY HILL,Airport,ASO,ORANGEBURG,HOLLY HILL,SC,Public Use,33.300417,-80.394333,No
803,2381.0,ROW,ROSWELL INTL AIR CENTER,Airport,ASW,CHAVES,ROSWELL,NM,Federalized/Commercial,33.301556,-104.530556,Yes
804,4669.0,9M4,ACKERMAN CHOCTAW COUNTY,Airport,ASO,CHOCTAW,ACKERMAN,MS,Public Use,33.303458,-89.2284,No
805,5090.0,99N,BAMBERG COUNTY,Airport,ASO,BAMBERG,BAMBERG,SC,Public Use,33.304528,-81.108417,No
806,5134.0,E58,BIRD DOG AIRFIELD,Airport,ASW,DENTON,KRUM,TX,Public Use,33.305753,-97.346097,No
807,457.0,IWA,PHOENIX-MESA GATEWAY,Airport,AWP,MARICOPA,PHOENIX,AZ,Federalized/Commercial,33.307823,-111.655461,Yes
808,2913.0,GGE,GEORGETOWN COUNTY,Airport,ASO,GEORGETOWN,GEORGETOWN,SC,Public Use,33.311402,-79.320314,Yes
